_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;LONG_WGS84;LAT_WGS84;HORAIRES;PLACES_PMR;PLACES_ELEC;PLACES_VELO;PLACES_MOTO
3752;66 Station Accueil Chanzy;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;Avenue Chanzy;;www.bicloo.nantesmetropole.fr;44000;-1,5480180218;47,2254413948;;;;;
4034;Station Gare Maritime;10;DEPLACEMENT;1003;Transport partagé;100302;Marguerite;;NANTES;Quai Ernest Renaud;;;44100;-1,5726689734;47,2065301936;;;;;
3727;42 Station Abonnement Gare Maritime;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;Quai Ernest Renaud;;www.bicloo.nantesmetropole.fr;44100;-1,5726295324;47,2066090812;;;;;
1581;Capitainerie du Port Atlantique Nantes Saint Nazaire;10;DEPLACEMENT;1004;Transport en commun;100402;Fluvial;;NANTES;Quai Ernest Renaud;02 40 44 20 53;www.nantes.port.fr;44100;-1,5739813913;47,2054007823;;;;;
3990;Pac en enclos Viviani;10;DEPLACEMENT;1005;Parc en Enclos;;;;NANTES;Rue René Viviani;;;44200;-1,5361970698;47,2087756043;;;;;
4023;Station Delorme;10;DEPLACEMENT;1003;Transport partagé;100302;Marguerite;;NANTES;Boulevard Gabriel Guist'Hau;;;44000;-1,5639939964;47,2152727528;;;;;
3696;12 Station Abonnement et Bonus Place Delorme;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;2 Boulevard Gabriel Guist'Hau;;www.bicloo.nantesmetropole.fr;44000;-1,5639635668;47,2151581344;;;;;
4031;Station Doulon;10;DEPLACEMENT;1003;Transport partagé;100302;Marguerite;;NANTES;Place Gabriel Trarieux;;;44300;-1,5224169704;47,2258990163;;;;;
4038;Station Duchesse Anne;10;DEPLACEMENT;1003;Transport partagé;100302;Marguerite;;NANTES;Rue Henri IV;;;44000;-1,5474014794;47,2167763176;;;;;
3734;49 Station Accueil Duchesse Anne;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;Rue Henri IV;;www.bicloo.nantesmetropole.fr;44000;-1,5470772208;47,2165287486;;;;;
3554;Parc en enclos Château;10;DEPLACEMENT;1005;Parc en Enclos;;;;NANTES;Rue Henri IV;;;44000;-1,5478504497;47,216989961;Parc en enclos ouvert 24h/24.;4;;;
4002;94 Station Abonnement Petit Port;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;Place du Huit Mai 1945;;www.bicloo.nantesmetropole.fr;44300;-1,5563809864;47,2432626441;;;;;
288;Parking ouvrage Graslin;10;DEPLACEMENT;1001;Parking Ouvrage;100102;Elévation;;NANTES;Rue Scribe;02 51 84 94 51;www.parkings-nantes.fr;44000;-1,5625718162;47,2143102105;Ouvert du lundi au samedi de 6h30 à 22h30. Dimanche et Mercredi de 6h30 à 1h.;6;;10;40
3705;21 Station Accueil Marché Talensac Sud;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;Rue de Talensac;;www.bicloo.nantesmetropole.fr;44000;-1,5564947718;47,2211548184;;;;;
3629;Parc relais busway Bourdonnières 1;10;DEPLACEMENT;1002;Parc Relais;100202;Enclos;;NANTES;Boulevard de Vendée;;;44200;-1,5211542946;47,186255591;"Ouvert 24h/24 et contrôle d&#39;accès du lundi au samedi de 6h à 22h.";6;;;20
3716;31 Station Accueil Bourse;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;Allée de la Bourse;;www.bicloo.nantesmetropole.fr;44000;-1,5591052776;47,2120943808;;;;;
3763;77 Station Accueil Ecole d'Architecture;10;DEPLACEMENT;1003;Transport partagé;100301;Bicloo;;NANTES;Quai François Mitterrand;;www.bicloo.nantesmetropole.fr;44200;-1,5575512597;47,207616902;;;;;
4036;Station Zola;10;DEPLACEMENT;1003;Transport partagé;100302;Marguerite;;NANTES;Rue des Renardières;;;44100;-1,5863462041;47,2138994604;;;;;
3227;Parc relais tram Plaisance;10;DEPLACEMENT;1002;Parc Relais;100203;Libre;;ST-HERBLAIN;Route de Vannes;;;44800;-1,593440524;47,240532662;Accès libre permanent.;2;;;5
